supplysector,subsector0,subsector,year,input.OM.var,OM.var,intermittent.technology
subpeak generation,solar,PV_subpeak,2021,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2025,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2030,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2035,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2040,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2045,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2050,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2055,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2060,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2065,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2070,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2075,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2080,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2085,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2090,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2095,OM-var,0,PV_subpeak
subpeak generation,solar,PV_subpeak,2100,OM-var,0,PV_subpeak
subpeak generation,wind,wind_subpeak,1975,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,1990,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2005,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2010,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2015,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2021,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2025,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2030,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2035,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2040,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2045,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2050,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2055,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2060,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2065,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2070,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2075,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2080,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2085,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2090,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2095,OM-var,0,wind_subpeak
subpeak generation,wind,wind_subpeak,2100,OM-var,0,wind_subpeak
