sector.name,subsector.name0,subsector.name,year,input.OM.var,OM.var,technology
base load generation,gas,gas_base_CC,1990,OM-var,0.47,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,1990,OM-var,0.47,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,1990,OM-var,0.47,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,1990,OM-var,1.18,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,1990,OM-var,1.18,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,1990,OM-var,1.18,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,1990,OM-var,1.18,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,1990,OM-var,0,geothermal (recirculating)
base load generation,geothermal,geo_base,1990,OM-var,0,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_Gen II,1990,OM-var,0.63,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,1990,OM-var,0.63,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,1990,OM-var,0.63,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,1990,OM-var,0.63,Gen_II_LWR (cooling pond)
base load generation,nuclear,nuc_base_large reactor,1990,OM-var,0.63,large reactor (once through)
base load generation,nuclear,nuc_base_large reactor,1990,OM-var,0.63,large reactor (seawater)
base load generation,nuclear,nuc_base_large reactor,1990,OM-var,0.63,large reactor (recirculating)
base load generation,nuclear,nuc_base_large reactor,1990,OM-var,0.63,large reactor (cooling pond)
base load generation,nuclear,nuc_base_SMR,1990,OM-var,0.61,SMR (once through)
base load generation,nuclear,nuc_base_SMR,1990,OM-var,0.61,SMR (seawater)
base load generation,nuclear,nuc_base_SMR,1990,OM-var,0.61,SMR (recirculating)
base load generation,nuclear,nuc_base_SMR,1990,OM-var,0.61,SMR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-var,1.33,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-var,1.33,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-var,1.33,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-var,1.33,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-var,1.33,refined liquids (steam/CT) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-var,0.47,refined liquids (CC) (once through)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-var,0.47,refined liquids (CC) (seawater)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-var,0.47,refined liquids (CC) (recirculating)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-var,0.47,refined liquids (CC) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-var,1.18,refined liquids (CC CCS) (once through)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-var,1.18,refined liquids (CC CCS) (seawater)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-var,1.18,refined liquids (CC CCS) (recirculating)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-var,1.18,refined liquids (CC CCS) (dry cooling)
base load generation,solar,PV_base_storage,1990,OM-var,0,PV_base_storage
base load generation,solar,CSP_base_storage,1990,OM-var,1.15,CSP_base_storage
base load generation,wind,wind_base_storage,1990,OM-var,0,wind_base_storage
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-var,2.12,coal (conv pul) (dry cooling)
