sector.name,subsector.name0,subsector.name,year,input.OM.fixed,OM.fixed,technology
base load generation,coal,coal_base_conv pul 1976-1980,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1976-1980,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1981-1985,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1981-1985,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1981-1985,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1981-1985,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1981-1985,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1986-1990,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1986-1990,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1986-1990,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1986-1990,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1986-1990,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1991-1995,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1991-1995,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1991-1995,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1991-1995,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1991-1995,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1996-2000,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1996-2000,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1996-2000,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1996-2000,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1996-2000,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2001-2005,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2001-2005,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2001-2005,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2001-2005,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2001-2005,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2006-2010,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2006-2010,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2006-2010,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2006-2010,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2006-2010,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2011-2015,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2011-2015,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2011-2015,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2011-2015,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2011-2015,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2016-2021,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2016-2021,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2016-2021,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2016-2021,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2016-2021,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul before 1950,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul before 1950,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul before 1950,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul before 1950,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul before 1950,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_retire_2023,2035,OM-fixed,19.13,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul_retire_2023,2035,OM-fixed,19.13,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul_retire_2023,2035,OM-fixed,19.13,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul_retire_2023,2035,OM-fixed,19.13,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul_retire_2023,2035,OM-fixed,19.13,coal (conv pul) (dry cooling)
base load generation,biomass,biomass_base_conv,2040,OM-fixed,38.57,biomass (conv) (once through)
